experimento,período,carga,apps,feature,método,nmae,função
2,128,PeriodicLoad,SingleApp,DispFrames,RF,0.11587965807309704,média
2,128,PeriodicLoad,SingleApp,DispFrames,RT,0.06979891512428153,máximo
2,128,PeriodicLoad,SingleApp,DispFrames,RF,0.09691269266839009,máximo
2,128,PeriodicLoad,SingleApp,DispFrames,RT,0.13744200016135202,mínimo
2,128,PeriodicLoad,SingleApp,DispFrames,RF,0.10758359817944319,mínimo
1,128,PeriodicLoad,SingleApp,DispFrames,RT,0.012487992315081653,raw
1,128,PeriodicLoad,SingleApp,DispFrames,RF,0.022305700648414983,raw
3,64,PeriodicLoad,SingleApp,DispFrames,RT,0.07522031885302662,raw
3,64,PeriodicLoad,SingleApp,DispFrames,RF,0.07522031885302662,raw
2,64,PeriodicLoad,SingleApp,DispFrames,RT,0.0734232565666882,média
2,64,PeriodicLoad,SingleApp,DispFrames,RF,0.08774570637757635,média
2,64,PeriodicLoad,SingleApp,DispFrames,RT,0.0933047763476718,máximo
2,64,PeriodicLoad,SingleApp,DispFrames,RF,0.0842026979119249,máximo
2,64,PeriodicLoad,SingleApp,DispFrames,RT,0.0598166491933248,mínimo
2,64,PeriodicLoad,SingleApp,DispFrames,RF,0.07566603427891408,mínimo
1,64,PeriodicLoad,SingleApp,DispFrames,RT,0.05162931191917222,raw
1,64,PeriodicLoad,SingleApp,DispFrames,RF,0.05263099204299109,raw
3,32,PeriodicLoad,SingleApp,DispFrames,RT,0.09640581916254838,raw
3,32,PeriodicLoad,SingleApp,DispFrames,RF,0.09640581916254838,raw
2,32,PeriodicLoad,SingleApp,DispFrames,RT,0.08478720012176337,média
2,32,PeriodicLoad,SingleApp,DispFrames,RF,0.08256184852284654,média
2,32,PeriodicLoad,SingleApp,DispFrames,RT,0.07237212142115364,máximo
2,32,PeriodicLoad,SingleApp,DispFrames,RF,0.08562938049192098,máximo
2,32,PeriodicLoad,SingleApp,DispFrames,RT,0.07568302179700634,mínimo
2,32,PeriodicLoad,SingleApp,DispFrames,RF,0.09052863650081883,mínimo
1,32,PeriodicLoad,SingleApp,DispFrames,RT,0.05623861419338147,raw
1,32,PeriodicLoad,SingleApp,DispFrames,RF,0.05641084123671747,raw
3,16,PeriodicLoad,SingleApp,DispFrames,RT,0.0882545780864525,raw
3,16,PeriodicLoad,SingleApp,DispFrames,RF,0.0882545780864525,raw
2,16,PeriodicLoad,SingleApp,DispFrames,RT,0.08751426964135996,média
2,16,PeriodicLoad,SingleApp,DispFrames,RF,0.08485905973909391,média
2,16,PeriodicLoad,SingleApp,DispFrames,RT,0.08495467597127089,máximo
2,16,PeriodicLoad,SingleApp,DispFrames,RF,0.08106480824126411,máximo
2,16,PeriodicLoad,SingleApp,DispFrames,RT,0.09283848766989043,mínimo
2,16,PeriodicLoad,SingleApp,DispFrames,RF,0.08202350563680316,mínimo
1,16,PeriodicLoad,SingleApp,DispFrames,RT,0.0592267017792877,raw
1,16,PeriodicLoad,SingleApp,DispFrames,RF,0.05934078482729491,raw
3,8,PeriodicLoad,SingleApp,DispFrames,RT,0.07985425894905694,raw
3,8,PeriodicLoad,SingleApp,DispFrames,RF,0.07985425894905694,raw
2,8,PeriodicLoad,SingleApp,DispFrames,RT,0.08495696693487809,média
2,8,PeriodicLoad,SingleApp,DispFrames,RF,0.07749489280555287,média
2,8,PeriodicLoad,SingleApp,DispFrames,RT,0.08246043307271338,máximo
2,8,PeriodicLoad,SingleApp,DispFrames,RF,0.07707249508366902,máximo
2,8,PeriodicLoad,SingleApp,DispFrames,RT,0.08131355543728201,mínimo
2,8,PeriodicLoad,SingleApp,DispFrames,RF,0.07756655432564451,mínimo
1,8,PeriodicLoad,SingleApp,DispFrames,RT,0.06998675730972169,raw
1,8,PeriodicLoad,SingleApp,DispFrames,RF,0.06627094734372714,raw
2,4,PeriodicLoad,SingleApp,DispFrames,RT,0.08272439721693249,média
2,4,PeriodicLoad,SingleApp,DispFrames,RF,0.0736023577842584,média
2,4,PeriodicLoad,SingleApp,DispFrames,RT,0.07686886144575474,máximo
2,4,PeriodicLoad,SingleApp,DispFrames,RF,0.07293918503266339,máximo
2,4,PeriodicLoad,SingleApp,DispFrames,RT,0.07488767530412595,mínimo
2,4,PeriodicLoad,SingleApp,DispFrames,RF,0.07382636656897869,mínimo
1,4,PeriodicLoad,SingleApp,DispFrames,RT,0.07454218426332022,raw
1,4,PeriodicLoad,SingleApp,DispFrames,RF,0.07239412705590335,raw
2,2,PeriodicLoad,SingleApp,DispFrames,RT,0.07690038935118346,média
2,2,PeriodicLoad,SingleApp,DispFrames,RF,0.07074682484170279,média
2,2,PeriodicLoad,SingleApp,DispFrames,RT,0.07720906908950916,máximo
2,2,PeriodicLoad,SingleApp,DispFrames,RF,0.07083126119076884,máximo
2,2,PeriodicLoad,SingleApp,DispFrames,RT,0.07289055621002911,mínimo
2,2,PeriodicLoad,SingleApp,DispFrames,RF,0.07060613758535111,mínimo
1,2,PeriodicLoad,SingleApp,DispFrames,RT,0.06931869992470259,raw
1,2,PeriodicLoad,SingleApp,DispFrames,RF,0.06889807871902508,raw
