,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,switch,nmae
170,42,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,SWC2,0.1323519834224784
171,42,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,SWC2,0.13223744456306857
172,42,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,SWC3,0.1323519834224784
173,42,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,SWC3,0.13223744456306857
174,42,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,SWC4,0.132376539311785
175,42,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,SWC4,0.1322605083582643
176,42,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,SWA1,0.12474799815401057
177,42,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,SWA1,0.12237443458220354
178,42,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,SWA2,0.12509007294896812
179,42,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,SWA2,0.12249990835274231
180,42,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,SWA3,0.1323519834224784
181,42,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,SWA3,0.13223744456306857
182,42,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,SWA4,0.1323507187975249
183,42,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,SWA4,0.13223663684002213
184,42,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,SWA5,0.11833487165785503
185,42,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,SWA5,0.11590991135078302
186,42,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,SWA6,0.1323519834224784
187,42,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,SWA6,0.13223744456306857
188,42,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,SWB1,0.11919046346749144
189,42,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,SWB1,0.11542832123664498
190,42,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,SWB2,0.12716478694205374
191,42,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,SWB2,0.12495720137323413
192,42,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,SWB3,0.1313040943721612
193,42,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,SWB3,0.12803435439623462
194,42,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,SWB4,0.12785905708803263
195,42,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,SWB4,0.12574038946641386
196,42,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWC1,0.3608329432620581
197,42,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWC1,0.3280868501795908
198,42,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWC2,0.2877024896812346
199,42,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWC2,0.2875768606880022
200,42,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWC3,0.2877024896812346
201,42,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWC3,0.287576860688002
202,42,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWC4,0.28778943177119015
203,42,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWC4,0.28767259889243246
204,42,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWA1,0.3375743210269995
205,42,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWA1,0.31308682696106255
206,42,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWA2,0.34505331527386324
207,42,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWA2,0.31627650572847527
208,42,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWA3,0.2877024896812346
209,42,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWA3,0.2875768606880022
210,42,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWA4,0.2877145777922148
211,42,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWA4,0.28758811972166215
212,42,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWA5,0.3176429652720374
213,42,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWA5,0.2916836462964253
214,42,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWA6,0.2877024896812346
215,42,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWA6,0.2875768606880022
216,42,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWB1,0.32442476935998427
217,42,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWB1,0.29549539965865007
218,42,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWB2,0.34680282643986093
219,42,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWB2,0.32143961144356087
220,42,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWB3,0.35568275752173606
221,42,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWB3,0.32627738259842637
222,42,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,SWB4,0.3515633558744734
223,42,PeriodicLoad,SingleApp,random_forest,VoD,noAudioPlayed,SWB4,0.323248516774066
224,42,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,SWC1,0.07689584401525679
225,42,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,SWC1,0.06837076908014499
226,42,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,SWC2,0.07253154745304123
227,42,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,SWC2,0.07249338205036175
228,42,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,SWC3,0.07253154745304123
229,42,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,SWC3,0.07249338205036182
230,42,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,SWC4,0.07251748127236327
231,42,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,SWC4,0.07247943007379808
232,42,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,SWA1,0.07052637203037906
233,42,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,SWA1,0.06310564678601922
234,42,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,SWA2,0.09405645048433617
235,42,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,SWA2,0.08361877476939125
236,42,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,SWA3,0.07253154745304123
237,42,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,SWA3,0.07249338205036175
238,42,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,SWA4,0.07252778467525703
239,42,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,SWA4,0.07249071554590941
240,42,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,SWA5,0.0697962910296689
241,42,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,SWA5,0.06216072091886229
242,42,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,SWA6,0.07253154745304123
243,42,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,SWA6,0.07249338205036182
244,42,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,SWB1,0.07711390105356385
245,42,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,SWB1,0.0690121655711015
246,42,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,SWB2,0.09051320128013529
247,42,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,SWB2,0.08186685739174866
248,42,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,SWB3,0.07605033162930694
249,42,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,SWB3,0.06780356690406303
250,42,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,SWB4,0.09285638805042294
251,42,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,SWB4,0.08269631597123592
252,42,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,SWC1,0.07214096647254915
253,42,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,SWC1,0.06413437382643315
254,42,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,SWC2,0.06918637774891433
255,42,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,SWC2,0.06914109781960678
256,42,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,SWC3,0.06918637774891433
257,42,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,SWC3,0.06914109781960684
258,42,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,SWC4,0.06920673748376537
259,42,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,SWC4,0.06915498352969619
260,42,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,SWA1,0.06700743090838822
261,42,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,SWA1,0.05983102331005315
262,42,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,SWA2,0.08851612422012867
263,42,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,SWA2,0.07897793953466822
264,42,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,SWA3,0.06918637774891433
265,42,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,SWA3,0.06914109781960678
266,42,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,SWA4,0.06918276976124131
267,42,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,SWA4,0.06913844020702443
268,42,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,SWA5,0.06527350574714035
269,42,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,SWA5,0.058194798010359275
270,42,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,SWA6,0.06918637774891433
271,42,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,SWA6,0.06914109781960678
272,42,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,SWB1,0.07248204648347814
273,42,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,SWB1,0.06456485121293068
