período,carga,apps,feature,método,nmae,
64,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.05347336117286923,
64,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.042558741083118606,
128,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.05479457209680913,
128,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.04257590388202824,
256,FlashcrowdLoad,SingleApp,ReadsAvg,RT,0.06135285805341107,
256,FlashcrowdLoad,SingleApp,ReadsAvg,RF,0.04740627489700196,
2,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.05729615926086731,
2,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.04320777950527625,
4,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.05687978399832745,
4,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.04293834408159995,
8,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.056261833966112014,
8,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.044036047162437156,
16,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.059666620310761295,
16,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.04516641130463807,
32,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.06213666308912027,
32,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.04609988565860845,
64,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.05377094802921444,
64,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.04217051935920093,
128,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.06224239008175673,
128,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.04444208345261713,
256,FlashcrowdLoad,SingleApp,WritesAvg,RT,0.05477624873583324,
256,FlashcrowdLoad,SingleApp,WritesAvg,RF,0.04377362512638337,
2,PeriodicLoad,SingleApp,ReadsAvg,RT,0.060834838100068754,
2,PeriodicLoad,SingleApp,ReadsAvg,RF,0.04377729873874328,
4,PeriodicLoad,SingleApp,ReadsAvg,RT,0.0614715780913858,
4,PeriodicLoad,SingleApp,ReadsAvg,RF,0.043906229777827516,
8,PeriodicLoad,SingleApp,ReadsAvg,RT,0.06069541697520038,
8,PeriodicLoad,SingleApp,ReadsAvg,RF,0.04453371510648635,
16,PeriodicLoad,SingleApp,ReadsAvg,RT,0.060955584922526444,
16,PeriodicLoad,SingleApp,ReadsAvg,RF,0.044487559578592004,
32,PeriodicLoad,SingleApp,ReadsAvg,RT,0.05873680767351256,
32,PeriodicLoad,SingleApp,ReadsAvg,RF,0.043435287481733906,
64,PeriodicLoad,SingleApp,ReadsAvg,RT,0.06057968878220677,
64,PeriodicLoad,SingleApp,ReadsAvg,RF,0.04400815845927475,
128,PeriodicLoad,SingleApp,ReadsAvg,RT,0.059699263649107846,
128,PeriodicLoad,SingleApp,ReadsAvg,RF,0.044238386045482116,
256,PeriodicLoad,SingleApp,ReadsAvg,RT,0.05997072653783103,
256,PeriodicLoad,SingleApp,ReadsAvg,RF,0.04464366266278526,
2,PeriodicLoad,SingleApp,WritesAvg,RT,0.0628986374908597,
2,PeriodicLoad,SingleApp,WritesAvg,RF,0.046540095897315115,
4,PeriodicLoad,SingleApp,WritesAvg,RT,0.06327036136910338,
4,PeriodicLoad,SingleApp,WritesAvg,RF,0.04682334408068115,
8,PeriodicLoad,SingleApp,WritesAvg,RT,0.06525478153947481,
8,PeriodicLoad,SingleApp,WritesAvg,RF,0.04645004010800817,
16,PeriodicLoad,SingleApp,WritesAvg,RT,0.06533183801002522,
16,PeriodicLoad,SingleApp,WritesAvg,RF,0.047462116426344084,
32,PeriodicLoad,SingleApp,WritesAvg,RT,0.06359957035566745,
32,PeriodicLoad,SingleApp,WritesAvg,RF,0.04621058848048148,
64,PeriodicLoad,SingleApp,WritesAvg,RT,0.06420276189699589,
64,PeriodicLoad,SingleApp,WritesAvg,RF,0.04718076669263479,
128,PeriodicLoad,SingleApp,WritesAvg,RT,0.06754351496971545,
128,PeriodicLoad,SingleApp,WritesAvg,RF,0.047785579623507546,
256,PeriodicLoad,SingleApp,WritesAvg,RT,0.05969119923990251,
256,PeriodicLoad,SingleApp,WritesAvg,RF,0.04754488242803289,
