período,função,carga,apps,feature,método,switch,nmae,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.54642166344294,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.5301015473887813,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.08629410376632571,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.07010652104771775,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.0,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.0002553104575163384,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.7109375,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.7033203124999998,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.1266299052633761,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.12383635861387267,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.10940457796559874,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.10856347655250743,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.15045994875456797,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.1449852509365993,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.12878890146519767,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.11987052747808087,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.08095771941063422,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.08028824338031178,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.18395788837831425,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.17266947414235617,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.11562508093548472,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.10722984968507619,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.0325947770750068,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.03352088264586809,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.23586222422332284,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.22148835698920122,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.09761751116388322,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.08986052674599693,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.0,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.00046211659557180606,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.32255872646088135,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.29684931728466957,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.09597739136770776,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.08925057727305058,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.0,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,3.179690679690716e-05,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.42974492001729353,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.3869523706585963,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.09029597157012789,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.08228545735951512,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.00060790273556231,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.00060790273556231,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.48167293233082703,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.4362351190476191,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.09095989008735594,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.07857040936991622,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.0012062726176115804,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.0012062726176115804,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.6651428571428571,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.6086190476190477,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.08845930024808829,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.0809804081715995,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.0,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.0005923202614379096,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,1.043731778425656,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,1.0603498542274055,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.1397331930555164,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.13965284716084977,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.12100286277269641,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.12104393300251574,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.16475716563783904,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.1646963984412747,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.13315775726052412,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.1335487987210298,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.09228319608395447,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.09207072297954608,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.20039258916431862,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.2004212636146741,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.1253024376735175,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.12520501274078968,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.038300225909480436,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.03846945028693202,
