,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,nmae,training_time
189,4,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24725093649677027,1.0688867568969727
190,5,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3095052815932207,1.0863080024719238
191,5,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24383234968261341,1.0863080024719238
192,6,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.30880273131450114,1.0300719738006592
193,6,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24538843563325408,1.0300719738006592
194,7,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.31886978878376077,1.0415589809417725
195,7,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.25426731399043434,1.0415589809417725
196,8,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3129964469622953,1.0681812763214111
197,8,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.2513925372230586,1.0681812763214111
198,9,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3102529077177795,1.2239665985107422
199,9,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24502935006194934,1.2239665985107422
200,10,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3192412948989526,1.0731451511383057
201,10,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24482120707920496,1.0731451511383057
202,11,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3165126012633713,1.3156023025512695
203,11,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24684558497284678,1.3156023025512695
204,12,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.31472316099259223,1.1449368000030518
205,12,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.2470128972130543,1.1449368000030518
206,13,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.31314947400464815,1.116163730621338
207,13,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24789067210013696,1.116163730621338
208,14,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3224707102339061,1.0683891773223877
209,14,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24775572595797,1.0683891773223877
210,15,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3182536193603919,1.0865094661712646
211,15,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24906155394934673,1.0865094661712646
212,16,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3157721504674482,1.1129581928253174
213,16,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24630409720557547,1.1129581928253174
214,17,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3175292964361075,1.1268386840820312
215,17,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.25326086409710347,1.1268386840820312
216,0,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11252189572855957,0.8142428398132324
217,0,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10688503088914846,0.8142428398132324
218,1,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11532402245961122,0.8832414150238037
219,1,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10742815270750207,0.8832414150238037
220,2,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11120922207010524,0.7741258144378662
221,2,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10682064718060078,0.7741258144378662
222,3,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11211083491526623,0.7981102466583252
223,3,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10710935023372863,0.7981102466583252
224,4,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11772985437582971,0.7937915325164795
225,4,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10916036238945426,0.7937915325164795
226,5,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11112799065002396,0.782559871673584
227,5,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10755293825247814,0.782559871673584
