período,carga,apps,feature,método,switch,nmae,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWB2,0.12564102564102564,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWB2,0.10310897435897433,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.12884639472255857,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.12592628352330454,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.12493776966478592,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.1186815466312645,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.13592998174879709,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.12670966760688016,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.13964566271101453,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.133341690344866,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.12200721548048539,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.12298704493276481,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.14503075428941403,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.13291248516240423,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.0932982917214192,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.08562198861147613,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWB3,0.13550135501355015,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWB3,0.10383920505871724,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.1323828708004133,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.1280931722324853,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.12486956884677991,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.124768591946427,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.14621507337700024,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.1348001824061023,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.12692656391659113,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.1224999313167944,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.14804979253112036,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.139865836791148,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.12015503875968991,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.11684431524547803,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.12323232323232323,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.12885521885521886,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWB4,0.1096433289299868,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWB4,0.11511448701012769,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.3348036694380603,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.31694283213861746,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.3280049106743226,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.30810085780500246,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.319471562238507,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.3012445553104388,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.3287728459530026,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.3138907093124456,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.31832895003034595,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.31431232719670915,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.28399781540142,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.25969112203410405,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.3124507486209614,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.2835172051484108,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC1,0.23909657320872274,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC1,0.22809579439252328,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.324644624923087,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.32429579309470413,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.3284473622487325,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.32836411122197423,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.3156494393922336,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.31608987191037824,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.3490668371104412,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.3481282073542463,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.32020962094617245,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.319542055087503,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.2561781544798107,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.25465602120403663,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.2739725260890245,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.27334736871555265,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC2,0.2706121039454372,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC2,0.26711739906184356,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.3233881853855547,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.3230834282396963,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.3230593212768908,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.3233262662009658,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.32943094706468606,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.32921373433451806,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.32103199680160954,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.32037664145409894,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.35031428586336,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.3499722026148125,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.279951690821256,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.28124188998452065,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.2619963778576866,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.2655557232473293,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC3,0.24340917298663775,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC3,0.24437504868325113,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.32679532388595994,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.3266311650428716,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.3156114773983354,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.3158678855296389,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.3273428544713309,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.32806900303419145,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.3098867490821755,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.3100298848905285,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.31523431248643696,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.31595185998645237,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.31345951026096425,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.31404240520375926,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.3164655235039023,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.3173538998618746,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWC4,0.21215061265425375,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWC4,0.2130878927376915,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.3376775492555999,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.3176993796845433,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.359192853929696,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.33438933873144394,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.3442534494719803,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.32716946307287786,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.37365157121267395,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.3388017440547536,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.32158935212370326,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.30248907157304106,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.3083219645293315,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.28242870135776,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.3325092707045736,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.3178100535640708,
