experimento,período,carga,apps,feature,método,nmae,função
2,32,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.07456694756554307,mínimo
1,32,PeriodicLoad,SingleApp,DispFrames,RT,0.04198210598761184,raw
1,32,PeriodicLoad,SingleApp,DispFrames,RF,0.043077540720348695,raw
3,16,PeriodicLoad,SingleApp,DispFrames,RT,0.12754029432375613,raw
3,16,PeriodicLoad,SingleApp,DispFrames,RF,0.09527563653352024,raw
2,16,média,PeriodicLoad,SingleApp,DispFrames,RT,0.08794674141555711,média
2,16,média,PeriodicLoad,SingleApp,DispFrames,RF,0.09105933193179162,média
2,16,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.07743517869656623,máximo
2,16,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.0903848399906564,máximo
2,16,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.1145760336370007,mínimo
2,16,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09034104181266057,mínimo
1,16,PeriodicLoad,SingleApp,DispFrames,RT,0.0838914346140289,raw
1,16,PeriodicLoad,SingleApp,DispFrames,RF,0.07240042298202326,raw
3,8,PeriodicLoad,SingleApp,DispFrames,RT,0.07964601769911504,raw
3,8,PeriodicLoad,SingleApp,DispFrames,RF,0.07198065577490356,raw
2,8,média,PeriodicLoad,SingleApp,DispFrames,RT,0.0731790333560245,média
2,8,média,PeriodicLoad,SingleApp,DispFrames,RF,0.07141054004992058,média
2,8,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.07334921715452689,máximo
2,8,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.07061351259360109,máximo
2,8,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.07947583390061266,mínimo
2,8,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.07056387565237122,mínimo
1,8,PeriodicLoad,SingleApp,DispFrames,RT,0.0703448275862069,raw
1,8,PeriodicLoad,SingleApp,DispFrames,RF,0.06370545977011494,raw
2,4,média,PeriodicLoad,SingleApp,DispFrames,RT,0.08577623590633131,média
2,4,média,PeriodicLoad,SingleApp,DispFrames,RF,0.07507877999421797,média
2,4,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.0805724197745013,máximo
2,4,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.0746740387395201,máximo
2,4,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.08222029488291413,mínimo
2,4,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.07587380745880312,mínimo
1,4,PeriodicLoad,SingleApp,DispFrames,RT,0.07184250894835521,raw
1,4,PeriodicLoad,SingleApp,DispFrames,RF,0.07065649678995511,raw
2,2,média,PeriodicLoad,SingleApp,DispFrames,RT,0.06400205629096517,média
2,2,média,PeriodicLoad,SingleApp,DispFrames,RF,0.06690728126918848,média
2,2,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.07047080495223407,máximo
2,2,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.066759842351026,máximo
2,2,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.07261277470762112,mínimo
2,2,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.06738422653472131,mínimo
1,2,PeriodicLoad,SingleApp,DispFrames,RT,0.06552804359953654,raw
1,2,PeriodicLoad,SingleApp,DispFrames,RF,0.06840285227939179,raw
