experimento,período,carga,apps,feature,método,nmae,função
3,32,PeriodicLoad,SingleApp,DispFrames,RT,0.0625,raw
3,32,PeriodicLoad,SingleApp,DispFrames,RF,0.06247659176029959,raw
2,32,média,PeriodicLoad,SingleApp,DispFrames,RT,0.06741573033707865,média
2,32,média,PeriodicLoad,SingleApp,DispFrames,RF,0.06622776217228463,média
2,32,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.0800561797752809,máximo
2,32,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.06921816479400748,máximo
2,32,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.08075842696629212,mínimo
2,32,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.07087429775280898,mínimo
1,32,PeriodicLoad,SingleApp,DispFrames,RT,0.037852718513420515,raw
1,32,PeriodicLoad,SingleApp,DispFrames,RF,0.03433126863959624,raw
3,16,PeriodicLoad,SingleApp,DispFrames,RT,0.08549404344779257,raw
3,16,PeriodicLoad,SingleApp,DispFrames,RF,0.08638460640037375,raw
2,16,média,PeriodicLoad,SingleApp,DispFrames,RT,0.10476524176594253,média
2,16,média,PeriodicLoad,SingleApp,DispFrames,RF,0.0933543564587713,média
2,16,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.10056061667834619,máximo
2,16,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.09098341508993224,máximo
2,16,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.1117729502452698,mínimo
2,16,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.09305944872693296,mínimo
1,16,PeriodicLoad,SingleApp,DispFrames,RT,0.07014451885794853,raw
1,16,PeriodicLoad,SingleApp,DispFrames,RF,0.06974797321113853,raw
3,8,PeriodicLoad,SingleApp,DispFrames,RT,0.08628318584070797,raw
3,8,PeriodicLoad,SingleApp,DispFrames,RF,0.06878120036305878,raw
2,8,média,PeriodicLoad,SingleApp,DispFrames,RT,0.07249829816201497,média
2,8,média,PeriodicLoad,SingleApp,DispFrames,RF,0.07008736101656456,média
2,8,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.08236895847515316,máximo
2,8,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.07229691400045382,máximo
2,8,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.0742001361470388,mínimo
2,8,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.0753786589516678,mínimo
1,8,PeriodicLoad,SingleApp,DispFrames,RT,0.07275862068965518,raw
1,8,PeriodicLoad,SingleApp,DispFrames,RF,0.06704022988505745,raw
2,4,média,PeriodicLoad,SingleApp,DispFrames,RT,0.08178664353859497,média
2,4,média,PeriodicLoad,SingleApp,DispFrames,RF,0.07712272333044232,média
2,4,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.09193408499566348,máximo
2,4,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.07707646718704829,máximo
2,4,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.07771032090199478,mínimo
2,4,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.07494073431627636,mínimo
1,4,PeriodicLoad,SingleApp,DispFrames,RT,0.06954150332367479,raw
1,4,PeriodicLoad,SingleApp,DispFrames,RF,0.07054641781716949,raw
2,2,média,PeriodicLoad,SingleApp,DispFrames,RT,0.07235573833697469,média
2,2,média,PeriodicLoad,SingleApp,DispFrames,RF,0.06745883848120064,média
2,2,máximo,PeriodicLoad,SingleApp,DispFrames,RT,0.06807179882620057,máximo
2,2,máximo,PeriodicLoad,SingleApp,DispFrames,RF,0.06678661697296834,máximo
2,2,mínimo,PeriodicLoad,SingleApp,DispFrames,RT,0.06755772608490768,mínimo
2,2,mínimo,PeriodicLoad,SingleApp,DispFrames,RF,0.06589698553456426,mínimo
1,2,PeriodicLoad,SingleApp,DispFrames,RT,0.07805861906192336,raw
1,2,PeriodicLoad,SingleApp,DispFrames,RF,0.06858308658398776,raw
