período,função,carga,apps,feature,método,switch,nmae,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.1305181563284266,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.08718373688980965,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.08718373688980965,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.4448275325725721,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.5061239805679267,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.13405633085707208,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.13675075121898653,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.08843124750483479,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.08839391724087872,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.9670349621330014,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.765384981152955,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.1257799328052918,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.12987135775460812,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.0882381912726104,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.0882375864279777,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.4320136892822432,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.5355294516015633,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.13815697127852697,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.14039980239129496,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.08439280677374195,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.08439082644955426,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.998533070702882,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.9600833246941736,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.13973144660279693,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.13763577406952046,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.09478708542453562,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.0949809786826719,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.17201397696389287,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.1685118247902058,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.14389308029348474,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.14319394752534287,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.08874401622297251,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.08871661488938332,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.21933766112557165,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.2239940780778141,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.14625141671778982,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.147061054326867,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.0856659632571996,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.08566523053900475,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.3633237094592143,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.35212265000001236,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.14762705685774924,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.14505666034452638,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.08537922190738174,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.08537922190738174,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.43293045424894744,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.43310906170183405,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.1369360885228761,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.13717712959536144,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.08408521626856036,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.08408710996341727,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.43625304860683195,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.44643211815602446,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.12950743818518096,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.13533945935819872,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.08733624454148471,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.08733551069601359,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.4380013660847838,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.5105875711389483,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.13431153995299952,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.14032950866787453,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.08636314234107412,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.08637426961116661,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.7716176630139959,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.7464802061540845,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.14387270466532226,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.14017256483923232,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.08493603824783565,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.08493603824783565,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.9092835354688452,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.9018331601998412,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.14262323823168174,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.14259357274156906,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.09672840136496802,
