# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
ST-F-01;1;2024-09-26 10:42:23 UTC;-1;1.50;0.00;0.58;0.33;0.00;0.17;0.08;0.00;0.00;97.33
ST-F-01;1;2024-09-26 10:42:23 UTC;0;0.99;0.00;0.99;0.00;0.00;0.99;0.00;0.00;0.00;97.03
ST-F-01;1;2024-09-26 10:42:23 UTC;1;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99
ST-F-01;1;2024-09-26 10:42:23 UTC;2;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99
ST-F-01;1;2024-09-26 10:42:23 UTC;3;2.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;97.00
ST-F-01;1;2024-09-26 10:42:23 UTC;4;1.00;0.00;1.00;3.00;0.00;0.00;0.00;0.00;0.00;95.00
ST-F-01;1;2024-09-26 10:42:23 UTC;5;3.96;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;95.05
ST-F-01;1;2024-09-26 10:42:23 UTC;6;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:23 UTC;7;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:23 UTC;8;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:23 UTC;9;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00
ST-F-01;1;2024-09-26 10:42:23 UTC;10;2.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;95.00
ST-F-01;1;2024-09-26 10:42:23 UTC;11;2.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;96.00
ST-F-01;1;2024-09-26 10:42:24 UTC;-1;1.83;0.00;0.50;0.25;0.00;0.25;0.00;0.00;0.00;97.18
ST-F-01;1;2024-09-26 10:42:24 UTC;0;1.98;0.00;0.99;1.98;0.00;0.00;0.00;0.00;0.00;95.05
ST-F-01;1;2024-09-26 10:42:24 UTC;1;0.99;0.00;0.99;0.00;0.00;0.99;0.00;0.00;0.00;97.03
ST-F-01;1;2024-09-26 10:42:24 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:24 UTC;3;3.92;0.00;0.98;0.00;0.00;0.00;0.00;0.00;0.00;95.10
ST-F-01;1;2024-09-26 10:42:24 UTC;4;6.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;92.00
ST-F-01;1;2024-09-26 10:42:24 UTC;5;3.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;96.97
ST-F-01;1;2024-09-26 10:42:24 UTC;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:24 UTC;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:24 UTC;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:24 UTC;9;0.98;0.00;0.98;0.00;0.00;0.98;0.00;0.00;0.00;97.06
ST-F-01;1;2024-09-26 10:42:24 UTC;10;2.97;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;96.04
ST-F-01;1;2024-09-26 10:42:24 UTC;11;2.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00
ST-F-01;1;2024-09-26 10:42:25 UTC;-1;1.75;0.00;0.67;0.17;0.00;0.08;0.00;0.00;0.00;97.34
ST-F-01;1;2024-09-26 10:42:25 UTC;0;0.00;0.00;0.00;2.02;0.00;0.00;0.00;0.00;0.00;97.98
ST-F-01;1;2024-09-26 10:42:25 UTC;1;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:25 UTC;2;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00
ST-F-01;1;2024-09-26 10:42:25 UTC;3;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:25 UTC;4;5.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;93.00
ST-F-01;1;2024-09-26 10:42:25 UTC;5;5.94;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;93.07
ST-F-01;1;2024-09-26 10:42:25 UTC;6;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:25 UTC;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:25 UTC;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:25 UTC;9;0.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;98.99
ST-F-01;1;2024-09-26 10:42:25 UTC;10;3.88;0.00;0.97;0.00;0.00;0.00;0.00;0.00;0.00;95.15
ST-F-01;1;2024-09-26 10:42:25 UTC;11;1.94;0.00;1.94;0.00;0.00;0.97;0.00;0.00;0.00;95.15
ST-F-01;1;2024-09-26 10:42:26 UTC;-1;1.83;0.00;0.25;0.17;0.00;0.08;0.08;0.00;0.00;97.59
ST-F-01;1;2024-09-26 10:42:26 UTC;0;1.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00;96.00
ST-F-01;1;2024-09-26 10:42:26 UTC;1;2.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;97.00
ST-F-01;1;2024-09-26 10:42:26 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:26 UTC;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:26 UTC;4;3.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;96.00
ST-F-01;1;2024-09-26 10:42:26 UTC;5;8.82;0.00;0.98;0.00;0.00;0.00;0.00;0.00;0.00;90.20
ST-F-01;1;2024-09-26 10:42:26 UTC;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:26 UTC;7;0.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.01
ST-F-01;1;2024-09-26 10:42:26 UTC;8;0.99;0.00;0.00;0.00;0.00;0.99;0.00;0.00;0.00;98.02
ST-F-01;1;2024-09-26 10:42:26 UTC;9;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.00
ST-F-01;1;2024-09-26 10:42:26 UTC;10;2.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.03
ST-F-01;1;2024-09-26 10:42:26 UTC;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:27 UTC;-1;1.83;0.00;0.50;0.17;0.00;0.08;0.08;0.00;0.00;97.34
ST-F-01;1;2024-09-26 10:42:27 UTC;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:27 UTC;1;3.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;95.00
ST-F-01;1;2024-09-26 10:42:27 UTC;2;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:27 UTC;3;1.01;0.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00;97.98
