# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ST-F-01;1;2024-10-11 11:00:43 UTC;-1;0.67;0.00;0.42;0.25;0.00;98.65
ST-F-01;1;2024-10-11 11:00:44 UTC;-1;2.17;0.00;2.17;0.17;0.00;95.48
ST-F-01;1;2024-10-11 11:00:45 UTC;-1;1.01;0.00;0.42;0.17;0.00;98.39
ST-F-01;1;2024-10-11 11:00:46 UTC;-1;0.76;0.00;0.51;0.25;0.00;98.48
ST-F-01;1;2024-10-11 11:00:47 UTC;-1;0.85;0.00;0.08;0.25;0.00;98.82
ST-F-01;1;2024-10-11 11:00:48 UTC;-1;1.01;0.00;0.42;0.17;0.00;98.40
ST-F-01;1;2024-10-11 11:00:49 UTC;-1;1.10;0.00;0.42;0.17;0.00;98.32
ST-F-01;1;2024-10-11 11:00:50 UTC;-1;1.68;0.00;0.76;0.25;0.00;97.31
ST-F-01;1;2024-10-11 11:00:51 UTC;-1;1.68;0.00;0.50;0.25;0.00;97.57
ST-F-01;1;2024-10-11 11:00:52 UTC;-1;1.10;0.00;0.34;0.17;0.00;98.40
ST-F-01;1;2024-10-11 11:00:53 UTC;-1;1.51;0.00;0.34;0.17;0.00;97.99
ST-F-01;1;2024-10-11 11:00:54 UTC;-1;3.65;0.00;1.24;0.25;0.00;94.86
ST-F-01;1;2024-10-11 11:00:55 UTC;-1;2.21;0.00;0.82;0.16;0.00;96.81
ST-F-01;1;2024-10-11 11:00:56 UTC;-1;2.12;0.00;1.63;0.16;0.00;96.09
ST-F-01;1;2024-10-11 11:00:57 UTC;-1;1.49;0.00;0.83;0.25;0.00;97.44
ST-F-01;1;2024-10-11 11:00:58 UTC;-1;1.89;0.00;1.07;0.16;0.00;96.88
ST-F-01;1;2024-10-11 11:00:59 UTC;-1;1.97;0.00;0.90;0.08;0.00;97.04
ST-F-01;1;2024-10-11 11:01:00 UTC;-1;7.22;0.00;2.71;0.25;0.00;89.83
